date,우산,우비,크록스,써큘레이터,에어컨,선풍기,닭가슴살,방향제,텀블러,보조배터리,사과,탄산수,텐트,자전거,무선청소기,에어프라이어,모기퇴치제,캡슐세제,매트리스,전신거울,칫솔,청바지,우산꽃이,신발건조기,우산비닐,물받이,옷걸이,장갑,모기장,원피스,담요,라면,스마트폰,핸드폰케이스,그립톡,요가매트,샴푸,덤벨
2022-05-19,9.62843,5.35477,55.28448,21.18066,16.36199,15.83623,57.77973,35.73096,82.23771,41.26023,37.64646,75.10504,63.17829,74.99031,45.69504,48.52899,44.22899,42.18674,57.12679,62.37227,31.26765,58.79871,10.35502,11.9814,8.87772,24.34554,45.06268,3.22359,42.0877,67.20978,21.77147,48.40034,27.87688,72.14498,28.91692,78.43182,37.79679,78.14207
2022-05-20,8.59887,5.33264,54.72379,21.16188,16.2498,14.98366,44.62574,35.9645,68.52589,36.21217,31.0905,67.56302,54.78036,69.67536,40.62866,44.91898,42.56694,42.08998,56.54226,56.97467,24.50564,53.1137,10.65088,10.37195,9.04522,26.96335,40.8037,2.51214,39.87646,63.33772,19.91142,42.94268,24.97376,62.35104,26.03001,68.47551,35.19344,66.12021
2022-05-21,7.33923,4.36642,56.47609,21.92739,17.87544,18.40057,38.52383,31.01354,64.53076,36.56817,21.98979,58.63445,71.56187,77.16742,41.36079,43.45508,34.5337,40.83212,60.10566,61.7059,23.88771,60.58658,10.35502,8.58369,4.69011,20.9424,40.16829,2.14415,39.78999,72.75634,18.37023,37.55346,21.82581,69.07894,26.32635,63.20993,33.26503,63.34894
2022-05-22,8.5471,5.89319,66.05288,33.67773,23.13953,33.36564,55.18181,32.0878,67.33067,40.27767,26.25979,78.17226,93.92764,89.47857,45.0898,56.04747,39.88919,41.07402,77.3044,67.74766,28.51341,69.24467,8.87573,10.30042,5.69514,15.44502,52.87652,2.1098,52.13094,84.1618,19.48627,46.62104,25.67331,76.73783,31.01041,71.32674,44.04001,73.88758
2022-05-23,9.55941,6.53488,61.41187,55.31864,34.47502,53.81397,81.70228,40.49509,77.85524,45.08365,36.83416,88.94957,82.61556,75.85806,52.33307,79.53382,60.48014,47.8955,76.47257,67.992,32.71539,59.58216,12.72189,10.97997,9.88274,29.05759,53.37454,3.11074,66.43607,80.1618,23.48981,45.73139,30.43022,70.87884,36.33495,87.85927,47.58346,79.274
2022-05-24,9.2028,6.10709,57.52972,59.12741,38.14426,55.95734,79.90618,44.55861,79.2386,44.27198,34.69197,100,89.5923,86.24777,49.12143,59.0108,67.86703,48.66956,71.07688,65.50422,32.15042,55.84572,13.60946,10.69384,10.05025,26.96335,48.05083,3.1598,69.04261,81.32079,24.1984,44.05474,32.00419,71.0278,34.57604,83.81237,44.32927,80.75722
2022-05-25,15.54699,9.91296,70.56344,55.16836,29.78948,47.21521,77.74525,43.48435,78.51925,41.15343,32.20473,86.05042,77.90697,79.6467,47.29597,62.86952,63.52723,35.60716,67.52473,62.5944,30.19067,68.28043,16.56804,9.79971,14.57286,34.55497,49.0297,3.02732,71.2168,82.17497,24.10983,43.26775,27.8419,68.57,33.61055,82.06484,42.73833,77.04918
2022-05-26,10.81329,6.48325,52.65541,46.40492,22.03964,32.14522,70.38848,41.14899,79.58167,42.34247,32.05377,83.65546,60.93884,68.41248,46.67122,56.94286,53.09325,35.07498,64.24235,64.28254,27.20692,65.16673,17.45562,10.44349,10.05025,26.70157,44.44444,3.04204,54.10747,75.43555,25.96988,41.64242,31.93424,67.31628,31.40235,78.73074,42.38881,72.17017
2022-05-27,7.67859,5.48015,49.30259,30.62508,18.69376,19.5931,49.46878,35.12377,65.32757,35.43609,29.69592,64.45378,55.85701,64.64709,42.28816,51.59891,47.46075,29.70488,63.14073,60.63971,26.76553,64.42346,12.42603,7.58226,6.19765,32.46073,38.91464,2.53667,42.26065,69.91157,21.64747,39.16167,24.69394,59.65739,24.72039,69.9931,34.26539,67.60343
2022-05-28,4.69343,4.63195,54.79278,27.02296,19.87505,25.5863,32.94711,32.36805,56.79504,34.5817,23.75817,69.5168,68.34625,73.93662,36.08941,41.66429,39.61218,19.1582,65.72616,63.66059,21.59251,66.99477,4.43786,6.61659,4.69011,23.03664,39.68744,2.06564,45.21309,78.70555,19.48627,37.94696,21.61594,70.22095,26.89991,62.01425,31.02326,61.16315
2022-05-29,8.31128,6.17347,63.97446,46.8182,23.94025,40.48099,53.55009,32.97524,65.48251,38.40512,26.17353,85.29411,94.90381,85.00038,49.35572,40.04405,54.93998,25.39912,77.20323,73.85606,29.14901,62.43471,13.01775,9.51359,11.72529,20.15706,55.00601,2.09018,60.13588,89.1063,21.41718,44.10607,24.34417,76.93644,29.92065,75.60358,42.01518,66.23731
2022-05-30,16.66283,7.61911,55.72349,37.97961,24.60678,35.02297,81.77444,42.69033,72.23328,41.92239,34.01624,80.08403,87.69738,74.24653,52.5283,49.45992,68.0517,31.0595,83.4982,67.70324,33.84533,53.83688,13.3136,8.79828,13.73534,29.84293,47.93061,2.91938,64.24953,76.10912,25.20814,43.33618,30.01049,73.98212,30.27435,81.90388,42.95528,76.15144
2022-05-31,7.83388,5.63504,49.84822,32.99206,21.08933,25.31539,63.77741,38.48668,64.11022,38.46208,30.01222,74.95798,71.17427,69.60564,48.82858,43.3627,56.97137,29.46298,81.9919,60.68414,28.74293,52.9329,8.87573,7.83261,8.0402,28.79581,39.89352,2.44835,55.68869,75.86453,22.55093,39.40119,27.35222,66.68321,26.18296,72.5684,39.90599,71.66276
2022-06-01,7.36799,5.90057,60.68686,38.04067,21.27191,28.71636,62.51854,37.319,65.26117,41.61623,27.56092,86.89075,82.12747,84.45029,47.67668,48.15235,53.18559,47.46008,91.96267,69.7912,30.6144,62.274,10.94674,7.86838,5.02512,17.27748,49.56208,2.19812,59.27115,86.72436,19.78742,40.61591,24.58901,80.58589,28.9934,83.35249,44.55827,76.54176
2022-06-02,9.49614,5.50966,59.48647,34.87531,20.93974,29.14663,70.52078,39.14058,69.63258,42.12175,31.27021,82.03781,74.44731,68.67591,47.57907,44.00938,57.61772,72.56894,70.76214,67.6366,31.47951,51.44636,9.76331,8.61945,8.0402,24.34554,46.40219,2.72312,58.80172,75.74035,23.08237,42.65183,28.15669,72.08291,27.58818,85.19199,43.31686,72.98985
2022-06-03,6.20614,4.38117,49.69896,44.90208,25.74187,37.66566,58.23277,38.48668,61.24391,36.49697,27.99223,71.95378,65.4608,66.49879,44.68957,40.49886,58.44875,47.6536,56.4973,56.17503,25.72387,51.52671,11.83431,6.61659,9.71524,25.91623,37.8499,2.67405,55.40457,75.03292,20.69087,39.79469,28.05176,64.85849,24.2711,76.84525,40.84608,69.16471
2022-06-04,6.02208,6.79303,54.70121,46.36735,29.11634,43.93907,40.8371,32.64829,54.4046,35.76361,22.78772,75.73529,75.53832,73.04563,46.08551,44.42154,48.38411,43.97677,67.60341,59.86228,23.02259,56.72961,11.83431,8.04721,6.53266,16.23036,39.44702,1.9577,53.35392,80.08654,16.89991,37.65611,20.04197,70.97815,25.24615,63.85375,41.09919,61.67056
2022-06-05,24.85908,20.54875,60.21398,38.08763,20.3546,29.44012,42.2403,30.68659,61.47631,35.03025,24.80051,72.94117,94.31524,66.13465,52.8114,50.98777,45.7987,44.12191,94.41321,65.37094,27.98375,59.10004,28.40236,11.0515,34.50586,19.89528,44.23836,1.93317,56.6646,85.06491,19.73427,42.49786,24.16928,73.53525,26.39327,65.32536,44.71495,67.5644
2022-06-06,22.93224,18.71219,67.34483,28.23932,17.3453,24.98207,57.56324,37.73937,63.14741,38.49056,26.52577,77.47899,100,77.77175,60.5818,53.02018,45.98337,44.17029,98.28012,69.0804,35.08121,61.51064,29.58579,13.23319,23.95309,24.34554,52.06938,2.42382,58.04817,80.97836,21.91319,47.54491,24.65897,80.35004,28.61103,78.33984,54.81499,73.57533
2022-06-07,21.87392,13.43118,53.12076,21.11492,16.51818,16.73395,70.1359,41.75618,66.43426,38.22712,32.76543,69.64285,77.93568,68.26528,54.25614,53.67396,51.4312,28.15674,81.47482,59.68458,32.87429,50.8638,15.97633,11.55221,22.44556,32.46073,44.03228,2.47289,59.98764,66.96519,23.41895,42.51497,25.95313,68.92999,27.58818,81.16808,44.956,71.11631
2022-06-08,19.76877,11.83802,56.10732,21.85694,15.98143,14.87344,74.04081,42.83045,70.37405,39.61552,30.43634,71.02941,71.80591,70.30293,54.99804,57.13473,57.15604,42.67053,82.17176,64.88227,32.87429,53.07352,14.20118,10.65808,17.92294,29.31937,45.71526,2.59064,56.59048,73.19661,25.279,46.05645,29.59076,70.85402,29.36621,82.75465,43.65433,76.3466
2022-06-09,28.25836,12.5756,53.13832,22.22796,15.06632,14.91461,68.2035,42.92386,66.96547,37.07369,32.02501,69.64285,64.24059,63.02006,44.87504,52.88516,59.46445,46.87953,73.06654,59.66237,30.27895,54.43953,24.85207,10.1216,17.58793,30.62827,45.02833,2.69859,56.61519,74.19002,20.37201,42.73738,28.33158,69.64995,27.43523,79.76546,46.1251,72.87275
2022-06-10,19.65374,10.48827,45.61988,19.60738,14.03462,13.56272,51.96247,41.66277,62.89287,34.74546,28.39479,64.0126,53.37352,64.62384,40.47247,48.66401,53.55493,45.23463,60.16187,58.72945,27.10098,47.79027,15.38461,8.90557,14.57286,29.05759,38.34793,2.46307,55.33045,72.32361,21.93091,40.85543,27.91185,65.98808,25.47557,68.93538,38.21863,70.14051
2022-06-11,14.06879,6.50538,52.25151,29.13633,15.95063,16.99689,37.87836,34.79682,61.04471,34.57458,22.0473,65.79831,64.58512,77.10544,47.42288,45.84991,53.73961,37.30043,76.5625,56.81919,24.09957,53.99758,12.13017,7.97567,9.54773,23.29842,37.66099,1.95279,57.55404,78.19379,20.40744,37.09153,22.24554,73.18768,26.45062,60.31271,36.6518,64.83216
2022-06-12,15.42045,8.67384,60.86498,48.43845,19.44389,40.0494,49.35653,37.59925,67.86188,40.76183,28.27259,80.39915,83.76399,86.23227,64.91604,51.66287,58.0794,43.92839,94.84037,69.83562,31.03813,59.36118,9.46745,8.51216,8.71021,26.43979,53.15129,2.19812,69.94441,91.9285,23.15323,44.07185,23.43476,76.75024,30.17875,74.52287,44.14848,68.89149
2022-06-13,30.60508,17.81973,56.18257,36.28892,22.08583,33.26206,74.02477,45.25922,74.88933,42.21431,36.41722,80.92436,74.57651,73.20833,57.59468,49.5594,69.52908,51.3788,95.24505,66.59262,34.92231,54.62032,18.34319,12.41058,20.93802,31.15183,47.17499,2.6299,77.61581,77.91533,28.25509,46.07356,27.80692,70.60575,28.85001,83.07656,51.82596,74.31693
2022-06-14,52.82411,29.40699,54.86177,20.28835,15.45568,17.09781,72.80198,47.26763,75.0996,41.18903,34.80698,72.47899,64.2693,67.44402,51.47403,51.36441,58.26408,47.46008,89.56834,63.01643,33.50988,51.8883,38.16568,12.23175,42.04355,31.41361,44.94246,2.67896,63.95305,78.70555,30.22143,49.99144,29.76565,73.60973,28.23821,79.55851,54.41725,80.44496
2022-06-15,63.86172,41.96046,54.53188,17.56445,13.78384,12.16302,65.76193,42.97057,70.36299,38.51192,31.32053,67.2689,58.62761,61.63322,44.67005,48.51478,52.63157,49.92743,70.08767,61.41714,31.90324,46.80594,48.22485,18.06151,43.38358,35.34031,47.26086,2.71331,50.69796,74.58137,30.29229,45.01283,26.79258,71.69811,28.3816,78.17889,52.62142,72.36533
2022-06-16,32.33636,27.94659,49.69896,17.01028,13.43408,12.23606,56.94984,45.25922,66.86586,37.07369,25.8141,62.24789,57.26385,63.5779,41.70245,43.32717,61.03416,49.87905,74.48291,62.90537,28.84887,45.98232,26.33136,13.7339,22.78056,33.76963,42.95036,2.61518,57.19579,72.50799,26.57218,56.85201,28.57642,64.56057,36.47834,80.11037,40.4604,76.85402
2022-06-17,24.14011,30.23307,51.25181,20.39637,14.85514,14.24397,44.06045,39.32741,62.67153,36.44713,21.01214,56.72268,57.86678,61.19934,38.15892,51.21517,62.88088,46.05708,68.8062,55.61972,26.00635,43.71233,19.52662,12.6967,16.41541,34.29319,37.11145,2.27172,61.66769,72.09031,22.90522,48.1266,25.56838,61.24627,33.31421,67.96964,38.37531,67.91569
2022-06-18,24.64626,28.72842,57.10325,25.22894,19.19971,19.10175,35.2203,33.72255,54.4046,33.9053,19.30127,60.021,65.21676,70.20996,38.57868,54.71859,65.28162,42.0416,74.87634,58.35184,24.87641,61.30976,14.49704,11.23032,11.39028,25.13089,39.79048,1.64368,59.50586,79.2587,19.68113,45.40633,22.98006,66.16186,32.54946,59.04805,35.32602,59.79703
2022-06-19,27.97078,26.64109,64.23034,48.72493,29.5035,49.14079,47.83706,40.96216,63.76715,39.19544,26.47545,76.36554,81.81165,82.24994,51.52284,54.03638,70.17543,46.15384,88.82643,66.23722,32.52118,63.19807,18.63905,15.12875,12.2278,26.17801,51.98351,1.74181,76.70166,88.16556,20.81488,42.66894,25.11367,75.86891,30.54201,70.29202,43.77485,65.10538
2022-06-20,31.80144,33.99468,67.47654,74.29671,47.79911,76.68322,76.28192,43.90471,73.1629,42.94054,31.19833,85.65126,71.08814,74.1768,56.59898,50.61114,100,50.55636,80.68794,67.72545,32.04449,52.37042,23.66863,16.80972,26.29815,37.95811,47.3639,2.41891,100,82.95014,26.57218,44.05474,25.14865,73.28699,29.94933,81.26005,49.36724,79.23497
2022-06-21,30.88692,28.21212,62.78159,80.26111,58.75624,88.50628,66.80832,48.66884,76.07348,42.02919,31.09769,84.87394,63.0778,69.45068,52.04021,50.97356,91.59741,53.41074,68.94109,65.45979,30.40254,54.15829,23.37278,15.45064,23.78559,32.98429,44.58183,2.4827,99.06114,93.06114,26.18246,42.75449,27.98181,72.96425,29.02208,84.57116,47.7763,75.83918
